Part of Speech Code,Dodson Part of Speech Code,Count
A,A,718
A,"A,A-NUI",1
A,"A,ADV",4
A,"A,ADV-C",2
A,"A,N:F,N:M",1
A,A-NUI,18
A,ADV-S,1
A,N:F,1
A,N:M,1
A,N:N,1
A/ADV,A,1
A/ADV,ADV,2
A/ADV-C,ADV-C,2
A/ADV-C,ADV,1
A/ADV-C,A,1
A/ADV-C?,ADV,1
A/ADV-S,ADV-S,1
A/ADV-S?,A,1
A/N,A,1
A/N,N:F,7
A/N,N:M,9
A/N,N:N,5
A/RP1,S,1
A/S-2P,S,1
A/S-2S,S,1
A/S1,S,1
C,CONJ,22
C/ADV,"ADV,ADV-I",1
C/ADV,ADV-N,1
C/ADV,ADV,17
C/ADV-K,ADV-K,2
C/COND,COND,2
C/COND-K,COND-K,1
C/CONJ-N,CONJ-N,3
C/D,ADV,2
C/PRT,PRT,7
C/PRT-I,PRT-I,1
D,ADV-I,2
D,ADV,188
D,"ADV,ADV-C",3
D,"ADV,V",1
D,ADV-C,3
D,ADV-N,9
D,ADV-S,2
D/ADV-N,ADV-N,1
D/ADV-S,ADV-S,1
D/ARAM,"ARAM,HEB",1
D/CONJ,CONJ,1
D/CONJ-N,CONJ-N,1
D/N,N:F,1
D/PRT-I,PRT-I,1
D/PRT-N,PRT-N,2
D/V,V,1
N,"N:F,N:N",5
N,N:M,718
N,"N:F,N:M",10
N,"N:M,N:N",6
N,N:N,417
N,"N:M,N-PRI",1
N,"N:F,N-PRI",1
N,HEB,1
N,N-PRI,166
N,N-OI,2
N,N-LI,3
N,N:F,965
N,"A,N:M",1
N,A,3
N/A,A,8
N/ADV-K,ADV-K,2
N/ARAM,ARAM,5
N/ARAM,HEB,1
N/HEB,"HEB,N:M",1
N/HEB,HEB,3
P,"ADV,PREP",1
P,PREP,20
P/ADV,ADV,18
P/D,ADV,1
RA,T,1
RD,D,8
RI,I,1
RI/A,A,4
RI/Q,Q,1
RI/X,X,1
RI/X,I,1
RP,P,1
RP/C,C,1
RP/F-2,F,1
RP1,P,1
RP1/F,F,1
RP1/P-K,P,1
RP2,P,1
RP2/F,F,1
RR,R,2
RR/K,K,1
RR/K,"K,R",1
V,"A,V",1
V,V,1790
V/ARAM,"ARAM,HEB",1
V/ARAM,ARAM,2
X,PRT,8
X,PRT-I,1
X,PRT-N,1
X/ADV,ADV,1
X/ADV-N,ADV-N,1
X/COND,COND,1
X/HEB,HEB,3
X/INJ,INJ,3
X/INJ,"INJ,N-OI",1
X/PRT-I,"PRT-I,PRT-N",1
X/V,INJ,1
X/V,V,2
